,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
0,Chemplast Sanmar Ltd.,CHEMPLASTS,Specialty Chemicals,60.0,31.67,7314.15,1815.7,648.66,696.27,11.19,102.4,11.55,,,,-46.06,24.48,-25.19,58.17,-36.38,-2.2,55.95,1.48,24.47,0.0,54.99,5,64.58,11.58,33.37,908.0
1,Tata Communications Ltd.,TATACOMM,Other Telecom Services,65.0,33.67,26386.72,4526.55,1481.76,-122.38,6.46,27.6,9.81,92.32,27.83,313.51,22.0,-0.79,-1.61,18.48,22.01,-7.63,-1.16,19.92,1.87,2.24,58.86,7,198.1,7.53,20.95,159.74
2,Nestle India Ltd.,NESTLEIND,Packaged Foods,60.0,6.67,167800.92,4002.14,2137.32,-1704.3,0.01,80.5,44.45,47.46,163.7,286.77,-1.25,12.18,-9.8,3.0,-1.25,53.81,9.88,-1.4,6.46,1.15,62.76,6,1038.41,26.12,59.24,102.89
3,Procter & Gamble Hygiene & Healthcare Ltd.,PGHH,Personal Products,65.0,8.0,42765.67,979.29,582.18,-236.37,0.0,59.87,14.16,21.24,64.34,518.55,4.59,46.47,0.08,50.5,4.6,-51.5,18.63,19.24,-10.95,1.33,70.64,7,942.34,39.92,109.87,91.25
4,Info Edge (India) Ltd.,NAUKRI,Internet & Catalogue Retail,65.0,49.67,50459.87,699.86,12750.94,113.14,0.0,2.79,29.5,77.33,297.13,941.14,104.74,60.65,43.61,806.81,105.37,-86.32,59.86,76.52,12.88,0.2,38.17,6,5587.88,62.29,4.31,74.0
5,GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,Pharmaceuticals,80.0,33.33,25377.02,828.39,1694.72,300.38,0.0,9.53,6.18,22.87,21.03,49.56,8365.88,9.57,3.06,373.19,8406.98,710.81,1.34,1737.27,-0.77,2.0,75.0,7,594.82,36.57,26.21,63.64
6,Colgate-Palmolive (India) Ltd.,COLPAL,Personal Products,65.0,11.83,41184.06,1310.13,1078.3,-101.24,0.0,23.74,14.16,34.21,38.43,162.24,2.85,3.73,0.4,4.15,2.83,28.23,5.22,2.31,1.65,2.64,51.0,7,238.51,37.15,77.76,62.16
7,Britannia Industries Ltd.,BRITANNIA,Packaged Foods,45.0,9.5,82731.04,3604.28,1524.82,-35.43,0.28,32.01,44.45,26.0,88.33,1213.86,4.23,-12.27,-4.09,-18.19,4.27,2.34,6.77,6.14,-0.69,1.64,50.55,3,390.95,20.28,66.18,59.6
8,ICICI Securities Ltd.,ISEC,Capital Markets,35.0,31.5,13838.9,892.3,1382.6,-232.65,0.0,5.69,8.84,96.54,,,3.13,37.26,-3.88,29.49,3.28,-10.53,32.96,16.05,-5.31,5.77,74.89,3,269.47,10.13,69.24,56.88
9,Page Industries Ltd.,PAGEIND,Other Apparels & Accessories,80.0,9.5,44647.44,1116.04,536.53,-71.1,0.0,41.01,18.65,93.92,145.32,1297.74,64.86,49.16,24.68,57.53,64.86,9.14,36.99,55.11,-6.61,0.92,47.19,8,3250.13,25.46,63.29,49.28
